id_evento,timestamp,tipo_evento,servicio,usuario,hostname,ip_origen,ip_destino,hora_evento,es_horario_laboral,ip_origen_es_privada,usuario_privilegiado,host_critico,conteo_eventos_ip_ventana,conteo_usuarios_distintos_ip,conteo_hosts_distintos_ip,conteo_fallidos_ventana,servicio_sensible,severidad_inicial,resultado,clase_evento_ml
EVT-ML-0018,2026-06-10T15:20:00Z,file_access,os,soporte,srv-web-01,203.0.113.88,10.10.20.15,15,1,0,0,1,4,1,1,0,1,Baja,permitido,normal
EVT-ML-0019,2026-06-10T17:19:00Z,network_connection,https,soporte,srv-web-01,192.168.10.44,8.8.8.8,17,1,1,0,1,5,1,2,1,0,Baja,observado,normal
EVT-ML-0020,2026-06-10T16:43:00Z,network_connection,https,soporte,ws-analyst-07,10.10.30.21,10.10.50.23,16,1,1,0,0,4,2,1,0,0,Baja,permitido,normal
EVT-ML-0021,2026-06-10T15:00:00Z,dns_query,dns,devops,srv-app-01,172.16.10.20,10.10.20.20,15,1,1,1,1,5,1,2,0,0,Baja,permitido,normal
EVT-ML-0022,2026-06-10T08:56:00Z,network_connection,ftp,soporte,srv-db-01,10.10.50.23,8.8.8.8,8,1,1,0,1,2,1,1,2,1,Baja,observado,normal
EVT-ML-0023,2026-06-10T17:10:00Z,file_access,os,ubuntu,ws-analyst-07,10.10.20.15,10.10.40.12,17,1,1,0,0,1,2,1,0,1,Media,permitido,normal
EVT-ML-0024,2026-06-10T06:55:00Z,network_connection,https,root,srv-auth-01,192.168.10.44,10.10.30.21,6,0,1,1,1,19,8,7,20,0,Alta,detectado,sospechoso
EVT-ML-0025,2026-06-10T00:27:00Z,powershell_activity,powershell,devops,ws-analyst-07,198.51.100.130,10.10.40.12,0,0,0,1,0,27,3,5,21,1,Media,detectado,sospechoso
EVT-ML-0026,2026-06-10T15:39:00Z,ssh_authentication,ssh,soporte,srv-web-01,192.168.10.44,10.10.20.15,15,1,1,0,1,6,2,2,0,1,Baja,observado,normal
EVT-ML-0027,2026-06-10T16:39:00Z,dns_query,dns,ubuntu,srv-auth-01,10.10.40.12,10.10.50.23,16,1,1,0,1,1,2,2,0,0,Baja,observado,normal
EVT-ML-0028,2026-06-10T17:10:00Z,process_creation,os,ubuntu,srv-app-01,10.10.30.21,10.10.50.23,17,1,1,0,1,6,2,1,1,1,Baja,observado,normal
EVT-ML-0029,2026-06-10T12:29:00Z,dns_query,dns,admin,srv-db-01,172.16.10.20,10.10.50.23,12,1,1,1,1,2,2,2,0,0,Baja,observado,normal
EVT-ML-0030,2026-06-10T20:33:00Z,network_connection,http,ubuntu,srv-web-01,192.0.2.55,10.10.20.20,20,0,0,0,1,35,3,5,7,0,Critica,bloqueado,sospechoso
EVT-ML-0031,2026-06-10T14:57:00Z,file_access,os,postgres,srv-app-01,192.0.2.55,10.10.40.12,14,1,0,1,1,13,9,5,11,1,Critica,observado,sospechoso
EVT-ML-0032,2026-06-10T07:15:00Z,ssh_authentication,ssh,ubuntu,srv-auth-01,10.10.30.21,10.10.50.23,7,0,1,0,1,1,1,1,0,1,Baja,observado,normal
EVT-ML-0033,2026-06-10T09:24:00Z,process_creation,os,analyst,srv-app-01,203.0.113.45,10.10.50.23,9,1,0,0,1,4,2,1,2,1,Baja,permitido,normal
EVT-ML-0034,2026-06-10T20:31:00Z,network_connection,smb,devops,srv-app-01,10.10.40.12,10.10.40.12,20,0,1,1,1,8,8,4,24,1,Critica,detectado,sospechoso
EVT-ML-0035,2026-06-10T18:36:00Z,process_creation,os,test,srv-app-01,10.10.20.15,8.8.8.8,18,1,1,0,1,4,1,2,0,1,Baja,permitido,normal
EVT-ML-0036,2026-06-10T12:30:00Z,file_access,os,soporte,ws-analyst-07,10.10.50.23,10.10.20.15,12,1,1,0,0,3,1,1,1,1,Baja,observado,normal
EVT-ML-0037,2026-06-10T07:36:00Z,data_exfiltration,ftp,devops,srv-db-01,192.0.2.44,8.8.8.8,7,0,0,1,1,16,7,3,22,1,Critica,observado,sospechoso
EVT-ML-0038,2026-06-10T10:58:00Z,dns_query,dns,oracle,srv-web-01,192.0.2.14,8.8.8.8,10,1,0,1,1,2,1,1,0,0,Baja,observado,normal
EVT-ML-0039,2026-06-10T09:41:00Z,ssh_authentication,ssh,devops,srv-db-01,192.168.10.44,10.10.40.12,9,1,1,1,1,10,1,2,6,1,Media,bloqueado,fallido
EVT-ML-0040,2026-06-10T07:49:00Z,process_creation,os,ubuntu,ws-analyst-07,10.10.40.12,8.8.8.8,7,0,1,0,0,12,3,2,4,1,Media,fallido,fallido
EVT-ML-0041,2026-06-10T05:54:00Z,data_exfiltration,icmp,devops,srv-auth-01,192.0.2.44,10.10.20.20,5,0,0,1,1,19,6,4,11,0,Critica,bloqueado,sospechoso
EVT-ML-0042,2026-06-10T13:44:00Z,network_connection,https,backup,ws-analyst-07,172.16.10.20,10.10.40.12,13,1,1,1,0,4,1,1,0,0,Baja,permitido,normal
EVT-ML-0043,2026-06-10T23:21:00Z,dns_query,dns,analyst,srv-db-01,10.10.40.12,10.10.30.21,23,0,1,0,1,7,3,1,2,0,Media,fallido,fallido
EVT-ML-0044,2026-06-10T17:38:00Z,network_connection,https,root,srv-auth-01,10.10.20.15,10.10.20.20,17,1,1,1,1,7,2,2,3,0,Media,fallido,fallido
EVT-ML-0045,2026-06-10T08:06:00Z,network_connection,http,analyst,ws-analyst-07,10.10.50.23,10.10.30.21,8,1,1,0,0,4,2,2,0,0,Media,permitido,normal
EVT-ML-0046,2026-06-10T15:09:00Z,ssh_authentication,ssh,backup,srv-web-01,10.10.50.23,10.10.30.21,15,1,1,1,1,10,5,2,20,1,Critica,fallido,sospechoso
EVT-ML-0047,2026-06-10T20:19:00Z,network_connection,smb,soporte,srv-auth-01,203.0.113.45,10.10.50.23,20,0,0,0,1,14,1,1,4,1,Baja,fallido,fallido
EVT-ML-0048,2026-06-10T15:18:00Z,ssh_authentication,ssh,devops,srv-auth-01,10.10.30.21,8.8.8.8,15,1,1,1,1,3,2,1,0,1,Media,observado,normal
EVT-ML-0049,2026-06-10T04:52:00Z,network_connection,smb,admin,srv-web-01,10.10.20.15,10.10.20.20,4,0,1,1,1,7,3,2,2,1,Media,fallido,fallido
EVT-ML-0050,2026-06-10T18:20:00Z,file_access,os,analyst,ws-analyst-07,10.10.20.15,10.10.20.15,18,1,1,0,0,2,1,2,0,1,Baja,permitido,normal
EVT-ML-0051,2026-06-10T15:05:00Z,process_creation,os,soporte,srv-app-01,10.10.40.12,10.10.30.21,15,1,1,0,1,3,1,1,0,1,Baja,permitido,normal
EVT-ML-0052,2026-06-10T05:55:00Z,network_connection,http,oracle,srv-db-01,203.0.113.45,8.8.8.8,5,0,0,1,1,35,9,5,4,0,Media,detectado,sospechoso
EVT-ML-0053,2026-06-10T21:56:00Z,process_creation,os,root,srv-auth-01,203.0.113.88,10.10.20.15,21,0,0,1,1,13,2,3,3,1,Media,fallido,fallido
EVT-ML-0054,2026-06-10T17:59:00Z,dns_query,dns,analyst,srv-web-01,10.10.50.23,8.8.8.8,17,1,1,0,1,3,2,2,2,0,Baja,permitido,normal
EVT-ML-0055,2026-06-10T16:21:00Z,ssh_authentication,ssh,deploy,srv-auth-01,192.0.2.55,10.10.30.21,16,1,0,1,1,1,2,2,1,1,Baja,observado,normal
EVT-ML-0056,2026-06-10T11:59:00Z,process_creation,os,backup,srv-auth-01,198.51.100.77,8.8.8.8,11,1,0,1,1,15,8,3,16,1,Media,observado,sospechoso
EVT-ML-0057,2026-06-10T15:31:00Z,process_creation,os,test,srv-app-01,203.0.113.200,10.10.50.23,15,1,0,0,1,12,3,1,8,1,Baja,bloqueado,fallido
EVT-ML-0058,2026-06-10T07:21:00Z,dns_query,dns,deploy,ws-analyst-07,10.10.40.12,8.8.8.8,7,0,1,1,0,1,2,2,2,0,Baja,observado,normal
EVT-ML-0059,2026-06-10T15:14:00Z,ssh_authentication,ssh,analyst,srv-db-01,10.10.40.12,10.10.20.15,15,1,1,0,1,6,1,2,0,1,Baja,permitido,normal
EVT-ML-0060,2026-06-10T10:36:00Z,network_connection,ftp,soporte,srv-app-01,10.10.20.20,10.10.20.20,10,1,1,0,1,2,1,2,0,1,Baja,observado,normal
EVT-ML-0061,2026-06-10T18:57:00Z,process_creation,os,analyst,ws-analyst-07,10.10.50.23,10.10.20.20,18,1,1,0,0,1,2,2,2,1,Baja,fallido,normal
EVT-ML-0062,2026-06-10T12:24:00Z,process_creation,os,root,srv-db-01,198.51.100.88,8.8.8.8,12,1,0,1,1,7,1,3,7,1,Baja,fallido,fallido
EVT-ML-0063,2026-06-10T18:38:00Z,ssh_authentication,ssh,deploy,ws-analyst-07,198.51.100.77,8.8.8.8,18,1,0,1,0,6,3,3,3,1,Media,bloqueado,fallido
EVT-ML-0064,2026-06-10T03:20:00Z,dns_query,dns,admin,srv-db-01,203.0.113.200,10.10.20.20,3,0,0,1,1,5,3,3,9,0,Alta,bloqueado,fallido
EVT-ML-0065,2026-06-10T08:09:00Z,process_creation,os,ubuntu,srv-auth-01,10.10.20.20,8.8.8.8,8,1,1,0,1,6,2,2,0,1,Baja,permitido,normal
EVT-ML-0066,2026-06-10T18:43:00Z,file_access,os,analyst,ws-analyst-07,10.10.20.15,10.10.50.23,18,1,1,0,0,5,2,1,0,1,Baja,permitido,normal
EVT-ML-0067,2026-06-10T08:07:00Z,process_creation,os,root,ws-analyst-07,10.10.50.23,10.10.20.20,8,1,1,1,0,9,4,2,9,1,Media,fallido,fallido
EVT-ML-0068,2026-06-10T18:02:00Z,process_creation,os,deploy,ws-analyst-07,10.10.20.20,10.10.40.12,18,1,1,1,0,4,1,2,0,1,Baja,permitido,normal
EVT-ML-0069,2026-06-10T02:05:00Z,powershell_activity,powershell,backup,srv-web-01,203.0.113.45,10.10.20.15,2,0,0,1,1,33,7,3,7,1,Critica,detectado,sospechoso
EVT-ML-0070,2026-06-10T03:50:00Z,file_access,os,devops,srv-app-01,203.0.113.45,10.10.30.21,3,0,0,1,1,35,4,3,20,1,Alta,detectado,sospechoso
EVT-ML-0071,2026-06-10T06:01:00Z,ssh_authentication,ssh,admin,srv-app-01,10.10.20.15,10.10.20.20,6,0,1,1,1,14,4,3,2,1,Media,fallido,fallido
EVT-ML-0072,2026-06-10T01:33:00Z,ssh_authentication,ssh,soporte,ws-analyst-07,172.16.10.20,10.10.20.15,1,0,1,0,0,3,4,2,7,1,Media,fallido,fallido
EVT-ML-0073,2026-06-10T02:40:00Z,ssh_authentication,ssh,root,srv-web-01,198.51.100.130,10.10.40.12,2,0,0,1,1,27,6,5,19,1,Critica,fallido,sospechoso
EVT-ML-0074,2026-06-10T09:25:00Z,network_connection,smb,soporte,srv-web-01,10.10.20.15,10.10.30.21,9,1,1,0,1,9,3,3,5,1,Media,fallido,fallido
EVT-ML-0075,2026-06-10T01:23:00Z,ssh_authentication,ssh,deploy,srv-web-01,192.0.2.55,10.10.20.15,1,0,0,1,1,26,7,7,6,1,Alta,detectado,sospechoso
EVT-ML-0076,2026-06-10T05:32:00Z,process_creation,os,postgres,srv-auth-01,172.16.10.20,10.10.40.12,5,0,1,1,1,15,3,4,20,1,Alta,observado,sospechoso
EVT-ML-0077,2026-06-10T15:11:00Z,process_creation,os,analyst,ws-analyst-07,192.168.10.44,10.10.30.21,15,1,1,0,0,3,2,1,0,1,Baja,observado,normal
EVT-ML-0078,2026-06-10T12:10:00Z,network_connection,http,ubuntu,srv-db-01,172.16.10.20,10.10.30.21,12,1,1,0,1,5,1,1,0,0,Baja,permitido,normal
EVT-ML-0079,2026-06-10T10:07:00Z,process_creation,os,analyst,srv-app-01,10.10.20.15,10.10.30.21,10,1,1,0,1,6,2,2,0,1,Baja,permitido,normal
EVT-ML-0080,2026-06-10T10:00:00Z,file_access,os,ubuntu,ws-analyst-07,10.10.40.12,10.10.20.20,10,1,1,0,0,2,2,1,0,1,Baja,observado,normal
EVT-ML-0081,2026-06-10T17:27:00Z,network_connection,smb,admin,ws-analyst-07,172.16.10.20,8.8.8.8,17,1,1,1,0,4,2,1,0,1,Media,permitido,normal
EVT-ML-0082,2026-06-10T04:25:00Z,process_creation,os,admin,srv-app-01,192.0.2.14,10.10.30.21,4,0,0,1,1,31,7,3,13,1,Critica,detectado,sospechoso
EVT-ML-0083,2026-06-10T15:15:00Z,network_connection,ftp,devops,ws-analyst-07,10.10.30.21,10.10.20.20,15,1,1,1,0,5,2,3,2,1,Baja,bloqueado,fallido
EVT-ML-0084,2026-06-10T15:20:00Z,ssh_authentication,ssh,ubuntu,ws-analyst-07,172.16.10.20,10.10.30.21,15,1,1,0,0,2,2,1,0,1,Baja,observado,normal
EVT-ML-0085,2026-06-10T01:04:00Z,dns_query,dns,devops,srv-auth-01,203.0.113.88,10.10.50.23,1,0,0,1,1,12,4,2,9,0,Alta,fallido,fallido
EVT-ML-0086,2026-06-10T08:28:00Z,ssh_authentication,ssh,soporte,srv-app-01,192.168.10.44,10.10.30.21,8,1,1,0,1,6,1,1,0,1,Baja,fallido,normal
EVT-ML-0087,2026-06-10T11:43:00Z,ssh_authentication,ssh,soporte,ws-analyst-07,192.168.10.44,8.8.8.8,11,1,1,0,0,6,2,1,0,1,Baja,permitido,normal
EVT-ML-0088,2026-06-10T08:19:00Z,ssh_authentication,ssh,soporte,srv-app-01,192.0.2.14,10.10.20.20,8,1,0,0,1,5,1,2,0,1,Baja,permitido,normal
EVT-ML-0089,2026-06-10T11:19:00Z,ssh_authentication,ssh,ubuntu,srv-app-01,10.10.20.20,10.10.30.21,11,1,1,0,1,4,1,1,2,1,Baja,permitido,normal
EVT-ML-0090,2026-06-10T14:10:00Z,ssh_authentication,ssh,deploy,srv-auth-01,172.16.10.20,10.10.50.23,14,1,1,1,1,5,4,1,7,1,Media,fallido,fallido
EVT-ML-0091,2026-06-10T03:19:00Z,file_access,os,ubuntu,srv-app-01,192.0.2.44,10.10.20.20,3,0,0,0,1,19,9,5,12,1,Critica,bloqueado,sospechoso
EVT-ML-0092,2026-06-10T10:30:00Z,dns_query,dns,ubuntu,srv-web-01,10.10.50.23,10.10.20.15,10,1,1,0,1,6,1,2,0,0,Baja,permitido,normal
EVT-ML-0093,2026-06-10T12:59:00Z,process_creation,os,test,srv-db-01,10.10.20.15,10.10.40.12,12,1,1,0,1,5,2,1,0,1,Baja,permitido,normal
EVT-ML-0094,2026-06-10T10:44:00Z,network_connection,ftp,ubuntu,srv-web-01,192.168.10.44,8.8.8.8,10,1,1,0,1,4,2,1,1,1,Baja,permitido,normal
EVT-ML-0095,2026-06-10T10:15:00Z,ssh_authentication,ssh,oracle,srv-auth-01,192.168.10.44,10.10.50.23,10,1,1,1,1,4,1,1,1,1,Baja,permitido,normal
EVT-ML-0096,2026-06-10T09:26:00Z,network_connection,https,oracle,srv-web-01,172.16.10.20,10.10.20.15,9,1,1,1,1,11,3,1,9,0,Media,bloqueado,fallido
EVT-ML-0097,2026-06-10T11:16:00Z,network_connection,smb,deploy,srv-web-01,10.10.30.21,10.10.20.15,11,1,1,1,1,3,1,1,1,1,Baja,permitido,normal
EVT-ML-0098,2026-06-10T16:44:00Z,ssh_authentication,ssh,ubuntu,srv-web-01,10.10.20.20,10.10.20.20,16,1,1,0,1,1,2,1,0,1,Baja,permitido,normal
EVT-ML-0099,2026-06-10T10:12:00Z,file_access,os,test,srv-app-01,192.168.10.44,10.10.20.15,10,1,1,0,1,6,2,2,0,1,Baja,observado,normal
EVT-ML-0100,2026-06-10T12:17:00Z,process_creation,os,test,srv-auth-01,192.0.2.14,10.10.20.15,12,1,0,0,1,9,2,3,5,1,Media,fallido,fallido
EVT-ML-0101,2026-06-10T16:28:00Z,dns_query,dns,analyst,srv-db-01,192.168.10.44,10.10.30.21,16,1,1,0,1,12,4,2,1,0,Baja,fallido,fallido
EVT-ML-0102,2026-06-10T16:08:00Z,dns_query,dns,devops,ws-analyst-07,192.168.10.44,8.8.8.8,16,1,1,1,0,3,2,2,2,0,Baja,permitido,normal
EVT-ML-0103,2026-06-10T08:25:00Z,file_access,os,analyst,srv-web-01,10.10.30.21,10.10.20.20,8,1,1,0,1,1,1,1,0,1,Baja,permitido,normal
EVT-ML-0104,2026-06-10T15:12:00Z,file_access,os,soporte,ws-analyst-07,192.168.10.44,10.10.20.15,15,1,1,0,0,4,1,2,2,1,Baja,fallido,normal
EVT-ML-0105,2026-06-10T04:54:00Z,dns_query,dns,analyst,srv-auth-01,172.16.10.20,8.8.8.8,4,0,1,0,1,28,4,4,19,0,Media,fallido,sospechoso
EVT-ML-0106,2026-06-10T09:08:00Z,network_connection,smb,admin,srv-auth-01,203.0.113.88,10.10.20.15,9,1,0,1,1,7,4,3,8,1,Media,bloqueado,fallido
EVT-ML-0107,2026-06-10T07:33:00Z,ssh_authentication,ssh,postgres,srv-auth-01,192.0.2.55,8.8.8.8,7,0,0,1,1,26,4,3,16,1,Alta,detectado,sospechoso
EVT-ML-0108,2026-06-10T22:22:00Z,file_access,os,root,srv-web-01,192.0.2.55,10.10.30.21,22,0,0,1,1,35,3,4,9,1,Critica,bloqueado,sospechoso
EVT-ML-0109,2026-06-10T18:10:00Z,file_access,os,analyst,srv-web-01,172.16.10.20,10.10.50.23,18,1,1,0,1,3,1,1,0,1,Media,observado,normal
EVT-ML-0110,2026-06-10T18:18:00Z,dns_query,dns,analyst,srv-web-01,10.10.30.21,10.10.40.12,18,1,1,0,1,2,2,2,0,0,Baja,permitido,normal
EVT-ML-0111,2026-06-10T17:46:00Z,process_creation,os,soporte,srv-web-01,198.51.100.130,10.10.40.12,17,1,0,0,1,2,2,1,0,1,Baja,permitido,normal
EVT-ML-0112,2026-06-10T14:55:00Z,network_connection,http,soporte,srv-auth-01,198.51.100.130,10.10.50.23,14,1,0,0,1,6,2,1,1,0,Baja,permitido,normal
EVT-ML-0113,2026-06-10T13:13:00Z,file_access,os,admin,ws-analyst-07,10.10.20.15,10.10.20.15,13,1,1,1,0,3,2,2,0,1,Baja,permitido,normal
EVT-ML-0114,2026-06-10T12:35:00Z,file_access,os,ubuntu,srv-auth-01,10.10.50.23,10.10.30.21,12,1,1,0,1,1,2,2,1,1,Baja,fallido,normal
EVT-ML-0115,2026-06-10T18:35:00Z,ssh_authentication,ssh,test,srv-db-01,203.0.113.200,10.10.20.20,18,1,0,0,1,12,4,3,1,1,Baja,fallido,fallido
EVT-ML-0116,2026-06-10T08:20:00Z,process_creation,os,devops,ws-analyst-07,10.10.50.23,8.8.8.8,8,1,1,1,0,3,2,2,0,1,Baja,observado,normal
EVT-ML-0117,2026-06-10T16:40:00Z,network_connection,smb,analyst,ws-analyst-07,10.10.40.12,10.10.30.21,16,1,1,0,0,6,1,1,0,1,Baja,observado,normal
EVT-ML-0118,2026-06-10T13:07:00Z,process_creation,os,ubuntu,srv-web-01,10.10.40.12,10.10.30.21,13,1,1,0,1,9,2,2,4,1,Media,bloqueado,fallido
EVT-ML-0119,2026-06-10T12:30:00Z,network_connection,http,analyst,srv-auth-01,198.51.100.130,10.10.20.20,12,1,0,0,1,22,7,6,14,0,Alta,fallido,sospechoso
EVT-ML-0120,2026-06-10T13:19:00Z,dns_query,dns,root,srv-web-01,198.51.100.77,8.8.8.8,13,1,0,1,1,14,4,2,8,0,Media,observado,fallido
EVT-ML-0121,2026-06-10T09:52:00Z,dns_query,dns,admin,srv-auth-01,192.168.10.44,10.10.20.20,9,1,1,1,1,7,1,2,2,0,Media,fallido,fallido
EVT-ML-0122,2026-06-10T18:17:00Z,process_creation,os,soporte,srv-app-01,10.10.50.23,8.8.8.8,18,1,1,0,1,5,1,1,0,1,Media,permitido,normal
EVT-ML-0123,2026-06-10T15:00:00Z,network_connection,smb,soporte,srv-app-01,203.0.113.200,10.10.40.12,15,1,0,0,1,6,2,2,0,1,Baja,permitido,normal
EVT-ML-0124,2026-06-10T16:58:00Z,network_connection,http,ubuntu,srv-db-01,192.0.2.14,10.10.20.20,16,1,0,0,1,1,2,2,0,0,Baja,observado,normal
EVT-ML-0125,2026-06-10T18:18:00Z,network_connection,http,soporte,ws-analyst-07,172.16.10.20,10.10.50.23,18,1,1,0,0,5,2,1,1,0,Baja,permitido,normal
EVT-ML-0126,2026-06-10T01:50:00Z,dns_query,dns,ubuntu,ws-analyst-07,172.16.10.20,10.10.20.20,1,0,1,0,0,2,2,2,0,0,Baja,observado,normal
EVT-ML-0127,2026-06-10T10:28:00Z,dns_query,dns,soporte,srv-db-01,10.10.30.21,10.10.30.21,10,1,1,0,1,5,1,2,0,0,Baja,permitido,normal
EVT-ML-0128,2026-06-10T18:49:00Z,file_access,os,analyst,srv-app-01,10.10.20.15,8.8.8.8,18,1,1,0,1,3,2,1,0,1,Baja,permitido,normal
EVT-ML-0129,2026-06-10T17:52:00Z,dns_query,dns,ubuntu,ws-analyst-07,10.10.20.20,8.8.8.8,17,1,1,0,0,12,1,3,8,0,Media,fallido,fallido
EVT-ML-0130,2026-06-10T03:09:00Z,ssh_authentication,ssh,deploy,srv-app-01,192.168.10.44,10.10.50.23,3,0,1,1,1,22,3,7,9,1,Critica,fallido,sospechoso
EVT-ML-0131,2026-06-10T07:35:00Z,process_creation,os,oracle,srv-auth-01,198.51.100.88,8.8.8.8,7,0,0,1,1,8,8,4,3,1,Critica,bloqueado,sospechoso
EVT-ML-0132,2026-06-10T18:02:00Z,file_access,os,analyst,srv-web-01,10.10.20.20,10.10.20.20,18,1,1,0,1,6,2,2,2,1,Baja,observado,normal
EVT-ML-0133,2026-06-10T10:55:00Z,process_creation,os,soporte,srv-auth-01,203.0.113.200,10.10.50.23,10,1,0,0,1,20,4,7,10,1,Critica,observado,sospechoso
EVT-ML-0134,2026-06-10T04:09:00Z,process_creation,os,devops,srv-app-01,172.16.10.20,10.10.20.15,4,0,1,1,1,9,8,6,3,1,Alta,detectado,sospechoso
EVT-ML-0135,2026-06-10T11:13:00Z,process_creation,os,backup,srv-web-01,203.0.113.45,10.10.20.20,11,1,0,1,1,11,3,1,6,1,Media,bloqueado,fallido
EVT-ML-0136,2026-06-10T12:19:00Z,network_connection,ftp,deploy,ws-analyst-07,10.10.50.23,10.10.50.23,12,1,1,1,0,14,2,3,7,1,Media,fallido,fallido
EVT-ML-0137,2026-06-10T10:48:00Z,process_creation,os,ubuntu,srv-auth-01,10.10.20.20,10.10.20.20,10,1,1,0,1,3,1,2,1,1,Baja,fallido,normal
EVT-ML-0138,2026-06-10T15:54:00Z,dns_query,dns,soporte,srv-db-01,10.10.50.23,8.8.8.8,15,1,1,0,1,2,1,2,0,0,Baja,permitido,normal
EVT-ML-0139,2026-06-10T11:13:00Z,ssh_authentication,ssh,analyst,ws-analyst-07,203.0.113.88,8.8.8.8,11,1,0,0,0,4,1,1,0,1,Baja,permitido,normal
EVT-ML-0140,2026-06-10T18:06:00Z,process_creation,os,soporte,srv-auth-01,172.16.10.20,10.10.40.12,18,1,1,0,1,3,1,2,0,1,Baja,observado,normal
EVT-ML-0141,2026-06-10T16:09:00Z,ssh_authentication,ssh,analyst,srv-auth-01,10.10.20.20,10.10.40.12,16,1,1,0,1,12,2,2,9,1,Media,fallido,fallido
EVT-ML-0142,2026-06-10T11:46:00Z,process_creation,os,analyst,ws-analyst-07,10.10.20.20,10.10.50.23,11,1,1,0,0,6,1,1,1,1,Baja,observado,normal
EVT-ML-0143,2026-06-10T06:00:00Z,network_connection,smb,devops,ws-analyst-07,10.10.40.12,10.10.30.21,6,0,1,1,0,1,2,2,0,1,Baja,permitido,normal
EVT-ML-0144,2026-06-10T15:06:00Z,file_access,os,admin,ws-analyst-07,192.0.2.55,10.10.20.20,15,1,0,1,0,2,1,2,1,1,Baja,permitido,normal
EVT-ML-0145,2026-06-10T09:52:00Z,process_creation,os,analyst,ws-analyst-07,172.16.10.20,8.8.8.8,9,1,1,0,0,1,1,2,0,1,Baja,permitido,normal
EVT-ML-0146,2026-06-10T16:54:00Z,dns_query,dns,analyst,srv-app-01,192.0.2.55,10.10.20.15,16,1,0,0,1,2,1,2,0,0,Media,observado,normal
EVT-ML-0147,2026-06-10T01:37:00Z,ssh_authentication,ssh,soporte,ws-analyst-07,192.168.10.44,8.8.8.8,1,0,1,0,0,4,1,2,0,1,Baja,observado,normal
